geoidentifikator,administrativeunit,name_1,name_2,type,localtype,leastdetailedviewingscale,mostdetailedviewingscale,beginlifespanversion,endlifespanversion,languagegeoname,languageiso_639,script,nativeness,namestatus,standardizationdata,sourceofname,responsibleinstitution,grammaticalgender,grammaticalnumber,note_,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6100106,Пландиште,Istvánvölgy,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803464","1150","2011",,POINT(496859.3827999998 5010412.5473)
SRBRGI6100107,Пландиште,Óléc,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80349","803456","963","2011",,POINT(496952.42349999957 5014621.3015)
SRBRGI6100108,Вршац,Izbiste,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801135","1472","2011",,POINT(514507.86560000014 4985382.9472)
SRBRGI6100109,Вршац,Almád,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801143","251","2011",,POINT(530836.8875000002 4991481.8983)
SRBRGI6100110,Вршац,Kisszered,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801178","89","2011",,POINT(531189.8919000002 4999522.4461)
SRBRGI6100111,Вршац,Meszesfalu,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801194","198","2011",,POINT(531537.9040999999 4994750.4342)
SRBRGI6100112,Вршац,Párta,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801224","376","2011",,POINT(520371.1966000004 4979665.554500001)
SRBRGI6100113,Вршац,Temespaulis,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801216","2195","2011",,POINT(518858.3646 4994659.2217999995)
SRBRGI6100114,Ковачица,Udvar,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80217","802247","974","2011",,POINT(461772.67650000006 5003988.9792)
SRBRGI6100115,Ковачица,Újozora,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80217","802298","2029","2011",,POINT(470602.26609999966 5005770.0209)
SRBRGI6100116,Темерин,Szőreg,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80446","804673","2939","2011",,POINT(407089.18510000035 5032370.625499999)
SRBRGI6100117,Зрењанин,Rezsőháza,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801585","1753","2011",,POINT(446359.70940000005 5004017.7115)
SRBRGI6100118,Зрењанин,Csenta,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801712","3050","2011",,POINT(451640.5800000001 4995060.7103)
SRBRGI6100119,Бечеј,Drea,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80110","801011","909","2011",,POINT(408438.5290000001 5065196.975500001)
SRBRGI6100120,Нови Бечеј,Beodra – Karlova,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80268","802620","6020","2011",,POINT(445942.9414999997 5063229.8632)
SRBRGI6100121,Вршац,Porány,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801232","272","2011",,POINT(519197.1721000001 4985415.464400001)
SRBRGI6100122,Вршац,Réthely,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801259","549","2011",,POINT(517988.49230000004 4989898.6468)
SRBRGI6100123,Вршац,Temesvajkóc,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801054","1148","2011",,POINT(515764.99729999993 4990918.4032000005)
SRBRGI6100124,Вршац,Versec,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801089","36040","2011",,POINT(523519.66669999994 4996406.292400001)
SRBRGI6100125,Вршац,Fürjes,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801127","500","2011",,POINT(518166.06439999957 4981091.626700001)
SRBRGI6100126,Вршац,Temesőr,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80128","801275","531","2011",,POINT(523659.94460000005 4980076.260299999)
