geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI5100127,Радуловац,Radulovac,"5101","5","70998",2017/02/01 01:00:00+01,POINT(532376.1418000003 4768291.211300001)
SRBRGI5100128,Ћувик,Ćuvik,"5101","5","70688",2017/02/01 01:00:00+01,POINT(527977.9386999998 4773025.3407000005)
SRBRGI5100129,Градина,Gradina,"5101","5","70688",2017/02/01 01:00:00+01,POINT(530885.5829999996 4774923.729900001)
SRBRGI5100130,Средњи шанац,Srednji šanac,"5101","5","70688",2017/02/01 01:00:00+01,POINT(522477.7695000004 4770720.418500001)
SRBRGI5100131,Црна чука,Crna čuka,"5101","5","70688",2017/02/01 01:00:00+01,POINT(518533.7764999997 4770020.2369)
SRBRGI5100132,Мадљика,Madljika,"5101","6","70688",2017/02/01 01:00:00+01,POINT(507203.5547000002 4775913.3663)
SRBRGI5100133,Пилатовица,Pilatovica,"5101","6","70688",2017/02/01 01:00:00+01,POINT(497392.2006999999 4775322.4747)
SRBRGI5100134,Панчићев врх,Pančićev vrh,"5101","9","70343",2017/02/01 01:00:00+01,POINT(485669.2949999999 4790729.7293)
SRBRGI5100135,Голеш,Goleš,"5101","5","70343",2017/02/01 01:00:00+01,POINT(494292.5460000001 4787630.7907)
SRBRGI5100136,Треска,Treska,"5101","6","70688",2017/02/01 01:00:00+01,POINT(498401.5778000001 4782606.872400001)
SRBRGI5100137,Оштри крш,Oštri krš,"5101","5","70688",2017/02/01 01:00:00+01,POINT(501205.2670999998 4781171.214)
SRBRGI5100138,Борје,Borje,"5101","5","70688",2017/02/01 01:00:00+01,POINT(505388.90660000034 4780921.234999999)
SRBRGI5100139,Игришка чука,Igriška čuka,"5101","5","70688",2017/02/01 01:00:00+01,POINT(510751.0954999998 4780463.967800001)
SRBRGI5100140,Шанац,Šanac,"5101","5","70688",2017/02/01 01:00:00+01,POINT(520063.52139999997 4779714.997199999)
SRBRGI5100141,Забео,Zabeo,"5101","5","70688",2017/02/01 01:00:00+01,POINT(531205.3465 4782398.4728999995)
SRBRGI5100142,Пирамида,Piramida,"5101","5","70998",2017/02/01 01:00:00+01,POINT(526280.3381000003 4784576.3509)
SRBRGI5100143,Велики Умац,Veliki Umac,"5101","5","70998",2017/02/01 01:00:00+01,POINT(542041.3343000002 4787944.5033)
SRBRGI5100144,Велика губа,Velika guba,"5101","5","70998",2017/02/01 01:00:00+01,POINT(549569.9358999999 4785984.2016)
SRBRGI5100145,Брег,Breg,"5101","2","70068",2017/02/01 01:00:00+01,POINT(391433.82100000046 4884784.226399999)
SRBRGI5100146,Хумка,Humka,"5101","2","70343",2017/02/01 01:00:00+01,POINT(504693.71910000034 4790863.782299999)
SRBRGI5100147,Бандера,Bandera,"5101","5","70998",2017/02/01 01:00:00+01,POINT(545206.6835000003 4776677.861)
SRBRGI5100148,Добра глава,Dobra glava,"5101","5","70726",2017/02/01 01:00:00+01,POINT(569759.9335000003 4770437.6066)
SRBRGI5100149,Калениче,Kaleniče,"5101","5","70297",2017/02/01 01:00:00+01,POINT(567094.1847999999 4768619.3862)
SRBRGI5100150,Брезова чука,Brezova čuka,"5101","5","71226",2017/02/01 01:00:00+01,POINT(607567.4857000001 4746831.341700001)
SRBRGI5100151,Пирамида,Piramida,"5101","5","71226",2017/02/01 01:00:00+01,POINT(603666.3554999996 4742207.698999999)
SRBRGI5100152,Ристин гроб,Ristin grob,"5101","5","70726",2017/02/01 01:00:00+01,POINT(597237.8936000001 4744588.7553)
SRBRGI5100153,Таламбас,Talambas,"5101","5","70050",2017/02/01 01:00:00+01,POINT(617521.3479000004 4756131.8358)
SRBRGI5100154,Кале,Kale,"5101","5","70050",2017/02/01 01:00:00+01,POINT(620156.7352999998 4759600.133400001)
SRBRGI5100155,Цикуљ,Cikulj,"5101","5","70050",2017/02/01 01:00:00+01,POINT(610681.6786000002 4759941.6227)
SRBRGI5100156,Велико Цртаво,Veliko Crtavo,"5101","5","70424",2017/02/01 01:00:00+01,POINT(607202.9299999997 4759917.4134)
SRBRGI5100157,Чука,Čuka,"5101","5","71226",2017/02/01 01:00:00+01,POINT(616374.7920000004 4749332.091499999)
SRBRGI5100158,Црни врх,Crni vrh,"5101","7","70050",2017/02/01 01:00:00+01,POINT(622139.8097000001 4752817.7194)
SRBRGI5100159,Миљчевски камик,Miljčevski kamik,"5101","5","70050",2017/02/01 01:00:00+01,POINT(627079.7889999999 4753150.1028)
SRBRGI5100160,Градиште,Gradište,"5101","5","70505",2017/02/01 01:00:00+01,POINT(635909.1142999995 4752709.605799999)
SRBRGI5100161,Сип,Sip,"5101","5","70050",2017/02/01 01:00:00+01,POINT(632244.8262999998 4750602.460100001)
SRBRGI5100162,Барнос,Barnos,"5101","5","71226",2017/02/01 01:00:00+01,POINT(620016.4397 4743966.379799999)
SRBRGI5100163,Орловац,Orlovac,"5101","5","71226",2017/02/01 01:00:00+01,POINT(610861.9926000005 4742171.156300001)
SRBRGI5100164,Круглица,Kruglica,"5101","5","70033",2017/02/01 01:00:00+01,POINT(462615.9879999999 4918133.014699999)
SRBRGI5100165,Свети Петар,Sveti Petar,"5101","6","70718",2017/02/01 01:00:00+01,POINT(545087.5027000001 4756818.6513)
SRBRGI5100166,Дебела глава,Debela glava,"5101","5","70688",2017/02/01 01:00:00+01,POINT(499197.28390000015 4790842.217700001)
SRBRGI5100167,Мијатовац,Mijatovac,"5101","5","70688",2017/02/01 01:00:00+01,POINT(505568.08210000023 4789843.3016)
SRBRGI5100168,Врата,Vrata,"5101","7","70343",2017/02/01 01:00:00+01,POINT(500812.71640000027 4793540.861099999)
SRBRGI5100169,Велика Шиљача,Velika Šiljača,"5101","5","70343",2017/02/01 01:00:00+01,POINT(488806.95889999997 4797722.4767)
SRBRGI5100170,Вељи врх,Velji vrh,"5101","5","71021",2017/02/01 01:00:00+01,POINT(468572.0915999999 4806768.511299999)
SRBRGI5100171,Караула,Karaula,"5101","5","71021",2017/02/01 01:00:00+01,POINT(476281.2715999996 4802601.7345)
SRBRGI5100172,Кукавица,Kukavica,"5101","5","71021",2017/02/01 01:00:00+01,POINT(479189.4451000001 4797424.3574)
SRBRGI5100173,Вучак,Vučak,"5101","5","71021",2017/02/01 01:00:00+01,POINT(482570.56240000017 4799603.5395)
SRBRGI5100174,Максићка чука,Maksićka čuka,"5101","5","70343",2017/02/01 01:00:00+01,POINT(488256.5356999999 4804291.2377)
SRBRGI5100175,Палеж,Palež,"5101","7","70343",2017/02/01 01:00:00+01,POINT(492272.7204 4799605.920600001)
SRBRGI5100176,Велика Гобеља,Velika Gobelja,"5101","5","71021",2017/02/01 01:00:00+01,POINT(485673.3371000001 4796157.0701)
SRBRGI5100177,Козја глава,Kozja glava,"5101","5","71021",2017/02/01 01:00:00+01,POINT(475412.1138000004 4791722.203400001)
SRBRGI5100178,Раздоље,Razdolje,"5101","5","71021",2017/02/01 01:00:00+01,POINT(472000.76769999973 4793530.568)
SRBRGI5100179,Караула,Karaula,"5101","5","71021",2017/02/01 01:00:00+01,POINT(460833.4104000004 4803843.65)
SRBRGI5100180,Столац,Stolac,"5101","5","71021",2017/02/01 01:00:00+01,POINT(462567.6255000001 4798693.062100001)
SRBRGI5100181,Црни врх,Crni vrh,"5101","5","71021",2017/02/01 01:00:00+01,POINT(456929.2110000001 4797425.705499999)
SRBRGI5100182,Градиште,Gradište,"5101","5","70505",2017/02/01 01:00:00+01,POINT(641492.8880000003 4753405.047700001)
SRBRGI5100183,Басара,Basara,"5101","5","70505",2017/02/01 01:00:00+01,POINT(638584.4943000004 4758614.9684999995)
SRBRGI5100184,Бањски врх,Banjski vrh,"5101","5","70505",2017/02/01 01:00:00+01,POINT(635327.2905000001 4760931.7974)
SRBRGI5100185,Паница,Panica,"5101","5","70505",2017/02/01 01:00:00+01,POINT(629550.4546999997 4760198.1062)
SRBRGI5100186,Рњос,Rnjos,"5101","5","70050",2017/02/01 01:00:00+01,POINT(624017.4106000001 4761570.502699999)
SRBRGI5100187,Росуља,Rosulja,"5101","5","70939",2017/02/01 01:00:00+01,POINT(626674.3174999999 4763255.295499999)
SRBRGI5100188,Големи стол,Golemi stol,"5101","6","70050",2017/02/01 01:00:00+01,POINT(621868.3722000001 4764977.6042)
SRBRGI5100189,Чука,Čuka,"5101","5","70050",2017/02/01 01:00:00+01,POINT(621382.6737000002 4763202.196900001)
SRBRGI5100190,Кардашица,Kardašica,"5101","5","70939",2017/02/01 01:00:00+01,POINT(620011.2029999997 4783382.4048999995)
SRBRGI5100191,Стрежина чука,Strežina čuka,"5101","5","70602",2017/02/01 01:00:00+01,POINT(620036.074 4816190.010199999)
SRBRGI5100192,Вражја глава,Vražja glava,"5101","5","70602",2017/02/01 01:00:00+01,POINT(621883.2594999997 4809678.965299999)
SRBRGI5100193,Трештена чука,Treštena čuka,"5101","5","70602",2017/02/01 01:00:00+01,POINT(625221.2495999997 4803912.624299999)
SRBRGI5100194,Бабин зуб,Babin zub,"5101","7","70939",2017/02/01 01:00:00+01,POINT(630346.6359000001 4803091.289799999)
SRBRGI5100195,Велика Турла,Velika Turla,"5101","5","70939",2017/02/01 01:00:00+01,POINT(632635.6832999997 4799152.297800001)
SRBRGI5100196,Посериград,Poserigrad,"5101","5","70939",2017/02/01 01:00:00+01,POINT(628580.1416999996 4796659.124)
SRBRGI5100197,Ђурђева глава,Đurđeva glava,"5101","5","70505",2017/02/01 01:00:00+01,POINT(643826.6875999998 4771446.6521000005)
SRBRGI5100198,Јавор,Javor,"5101","5","70505",2017/02/01 01:00:00+01,POINT(642128.5882000001 4775540.2053)
SRBRGI5100199,Изатовска чука,Izatovska čuka,"5101","5","70505",2017/02/01 01:00:00+01,POINT(652660.3490000004 4773752.147700001)
