geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI5018614,Ћафа е Сејдис,Ćafa e Sejdis,"5002","2","90263",2017/02/01 01:00:00+01,420.849901002761,"MULTILINESTRING((528461.2041999996 4736536.660700001,528524.7043000003 4736404.368799999,528582.9128 4736287.9519,528667.5795999998 4736171.535))"
SRBRGI5018615,Равши и мал,Ravši i mal,"5002","2","90263",2017/02/01 01:00:00+01,346.675507035986,"MULTILINESTRING((530556.7083999999 4736616.0359000005,530853.0422999999 4736436.118899999))"
SRBRGI5018616,Брегу и дољанит,Bregu i doljanit,"5002","2","90263",2017/02/01 01:00:00+01,511.17640808271,"MULTILINESTRING((528794.5799000002 4735033.8244,528895.1217999998 4735097.3245,529011.5387000004 4735160.8246,529127.9556 4735208.4497,529254.9557999996 4735250.7831))"
SRBRGI5018617,Брегу и нђалаве,Bregu i nđalave,"5002","2","25",2017/02/01 01:00:00+01,498.770460606155,"MULTILINESTRING((531174.5116999997 4736306.737299999,531622.9813999999 4736525.018999999))"
SRBRGI5018618,Брегу,Bregu,"5002","2","90247",2017/02/01 01:00:00+01,309.504651224894,"MULTILINESTRING((531690.4502999997 4735469.329399999,531757.9190999996 4735306.610300001,531837.2943000002 4735199.4539))"
SRBRGI5018619,Костино брдо,Kostino brdo,"5002","2","90247",2017/02/01 01:00:00+01,387.095455214089,"MULTILINESTRING((529927.2633999996 4739439.674900001,530006.6386000002 4739352.362199999,530066.1699000001 4739249.1745,530101.8887 4739173.768100001,530121.7324999999 4739110.267899999))"
SRBRGI5018620,Чука е конакут,Čuka e konakut,"5002","2","90247",2017/02/01 01:00:00+01,517.172083106604,"MULTILINESTRING((532582.3624999998 4740658.0835,532665.7063999996 4740693.8024,532753.0191000002 4740753.333699999,532836.3629999999 4740820.8026,532923.6755999997 4740916.0528,532979.2383000003 4740979.5529))"
SRBRGI5018621,Брвеник,Brvenik,"5002","2","90247",2017/02/01 01:00:00+01,390.019876139432,"MULTILINESTRING((533562.3810999999 4742137.3719,533689.3812999995 4742188.172,533810.0316000003 4742277.0722,533879.8816999998 4742353.272399999))"
SRBRGI5018622,Чука е Кајтазит,Čuka e Kajtazit,"5002","2","90247",2017/02/01 01:00:00+01,486.258789445569,"MULTILINESTRING((533588.3103 4741771.717,533819.8212000001 4741771.717,534074.4831999997 4741778.331599999))"
SRBRGI5018623,Конђовића брдо,Konđovića brdo,"5002","2","90247",2017/02/01 01:00:00+01,482.796802782865,"MULTILINESTRING((527886.5280999998 4742737.977299999,527912.9864999996 4742907.311000001,527926.2155999998 4743066.0613,527947.3823999995 4743156.0198,527960.6114999996 4743214.2282))"
